Code,Actual,Predicted,Error,AbsoluteError,SquaredError
HAJJ,20.714285714285715,15.303454609848618,5.410831104437097,5.410831104437097,29.277093240743977
NSSS,7.874015748031496,34.763263556363604,-26.889247808332108,26.889247808332108,723.031647697893
CUAN,55.45454545454545,46.88336223458064,8.571183219964816,8.571183219964816,73.46518179020643
SAGE,80.0,29.74001962147321,50.25998037852679,50.25998037852679,2526.065627649898
TRON,53.333333333333336,40.81353061857908,12.519802714754256,12.519802714754256,156.74546001636804
PTMP,24.166666666666668,46.294298145810686,-22.127631479144018,22.127631479144018,489.6320748768053
BDKR,27.0,43.833686884435316,-16.833686884435316,16.833686884435316,283.3730141232096
FUTR,21.0,29.73263749953321,-8.732637499533212,8.732637499533212,76.25895769825367
PGEO,0.0,38.91935408965426,-38.91935408965426,38.91935408965426,1514.716122755888
KING,-18.461538461538463,5.728554056541921,-24.190092518080384,24.190092518080384,585.1605760332885
CHIP,20.625,11.50721835200427,9.11778164799573,9.11778164799573,83.13394218052774
HALO,27.0,41.05679344141773,-14.056793441417732,14.056793441417732,197.59344185468456
VAST,-2.7777777777777777,35.82978523594488,-38.60756301372266,38.60756301372266,1490.543921858566
HILL,29.2,23.173796804362226,6.026203195637773,6.026203195637773,36.31512495511491
PACK,-18.51851851851852,-0.21655127658056905,-18.30196724193795,18.30196724193795,334.9620049249699
IRSX,10.891089108910892,31.272006026784318,-20.380916917873428,20.380916917873428,415.38177441325934
FWCT,74.57627118644068,42.78142810569934,31.794843080741337,31.794843080741337,1010.9120465289653
NAYZ,-11.0,7.9069999771949,-18.9069999771949,18.9069999771949,357.47464813764793
PEVE,81.20805369127517,40.57037859034982,40.63767510092535,40.63767510092535,1651.4206376083682
LAJU,82.0,43.933103215566405,38.066896784433595,38.066896784433595,1449.0886307967207
BMBL,-18.617021276595743,12.92651579800765,-31.543537074603393,31.543537074603393,994.9947311768788
CBPE,5.333333333333334,41.06772333973136,-35.73439000639802,35.73439000639802,1276.9466291293588
SOUL,-18.181818181818183,7.3602651243802555,-25.54208330619844,25.54208330619844,652.3980196207809
SUNI,1.3333333333333337,53.132206107706786,-51.79887277437345,51.79887277437345,2683.123220695727
WINE,81.3953488372093,44.67647077057371,36.71887806663559,36.71887806663559,1348.276006472452
ELIT,25.833333333333336,41.36137422132794,-15.528040887994607,15.528040887994607,241.12005381923234
BEER,25.454545454545453,41.03242854259445,-15.577883088049,15.577883088049,242.67044150492302
CBRE,80.55555555555556,29.11696950684638,51.438586048709176,51.438586048709176,2645.928134690458
VTNY,14.444444444444445,43.38199006369204,-28.937545619247594,28.937545619247594,837.3815464660356
PADA,20.0,40.48878737272616,-20.488787372726158,20.488787372726158,419.7904080047829
MMIX,66.3157894736842,39.333212585539165,26.98257688814504,26.98257688814504,728.0594555246589
ISAP,-17.708333333333336,23.114204912234534,-40.82253824556787,40.82253824556787,1666.4796288108514
BELI,1.7777777777777777,7.567420951685218,-5.78964317390744,5.78964317390744,33.51996808117302
KETR,8.0,33.862463673197986,-25.862463673197986,25.862463673197986,668.8670272474855
ZATA,82.0,33.912103780935176,48.087896219064824,48.087896219064824,2312.445762775549
KDTN,32.0,33.25168268704885,-1.2516826870488487,1.2516826870488487,1.566709549057826
NINE,-8.0,9.940901517108937,-17.940901517108937,17.940901517108937,321.87594724660175
MKTR,14.166666666666666,52.29438352704448,-38.12771686037782,38.12771686037782,1453.7227929851388
PRAY,0.0,9.879355095042929,-9.879355095042929,9.879355095042929,97.60165709395068
CBUT,51.44927536231884,39.027170462175555,12.422104900143289,12.422104900143289,154.3086901501639
PDPP,36.42105102539063,39.258640991961954,-2.837589966571322,2.837589966571322,8.051916818386236
BSBK,82.0,44.03959620835808,37.96040379164192,37.96040379164192,1440.9922560245025
OMED,30.392156862745097,47.77526409417959,-17.383107231434494,17.383107231434494,302.1724170195502
COAL,82.0,31.12151650754295,50.87848349245705,50.87848349245705,2588.6200824922244
MEDS,80.80000000000001,43.91381174562332,36.88618825437669,36.88618825437669,1360.590883937317
BUAH,49.48453608247423,36.055692355810166,13.428843726664063,13.428843726664063,180.33384383516474
EURO,2.857142857142857,-7.333473109916355,10.190615967059212,10.190615967059212,103.84865378808217
CRAB,68.0,42.05889860419677,25.94110139580323,25.94110139580323,672.9407416273443
KLIN,-19.0,-0.3354549087635519,-18.664545091236448,18.664545091236448,348.3652434627986
KKES,23.809523809523807,38.17729139542439,-14.367767585900584,14.367767585900584,206.43274540245548
TOOL,81.10236220472441,38.718672480516425,42.38368972420799,42.38368972420799,1796.377154637934
RAFI,80.95238095238095,36.53311933687174,44.41926161550921,44.41926161550921,1973.0708024670496
ELPI,68.0,47.46620328237731,20.533796717622693,20.533796717622693,421.6368076406525
JARR,55.333333333333336,45.2668151983279,10.066518135005438,10.066518135005438,101.33478736239337
RCCC,-11.11111111111111,9.209343055174699,-20.32045416628581,20.32045416628581,412.9208575241223
AMMS,8.0,9.589464060008357,-1.589464060008357,1.589464060008357,2.5263959980582498
KRYA,-18.4,42.601262806587116,-61.001262806587114,61.001262806587114,3721.154063998308
AXIO,81.42857142857143,50.25864988816898,31.16992154040245,31.16992154040245,971.5640088348446
HATM,9.375,49.984163883696326,-40.609163883696326,40.609163883696326,1649.104191332906
DEWI,82.0,55.58966520726298,26.410334792737018,26.410334792737018,697.5057838644555
GULA,4.0,40.353370440476546,-36.353370440476546,36.353370440476546,1321.567542382514
